Infinitive,Meaning,Type,Participle_ES,Participle_EN,Gerund_ES,Gerund_EN
Significar,"to mean, to signify",Irregular
Situar,"to place, to position",Irregular
Sobrar,"to spare, to remain",Regular
Sobresalir,"to excel, to stand out",Irregular
Sobresaltar,"to shock, to startle",Regular
Sobrescribir,to overwrite,Irregular
Sobrevivir,to survive,Regular
Sofreír,"to stir-fry, to saute",Irregular
Soler,"to be used to, to usually do",Irregular
Solicitar,"to request, to apply for",Regular
Soltar,"to release, to drop",Irregular
Solucionar,"to solve, to sort out",Regular
Sonar,"to sound, to ring",Irregular
Sonreír,to smile,Irregular
Soplar,to blow,Regular
Soportar,"to put up with, to endure",Regular
Sorprender,to surprise,Regular
Sospechar,to suspect,Regular
Sostener,"to sustain, to hold",Irregular
Subir,"to go up, to upload, to rise",Regular
Subrayar,to underline,Regular
Suceder,to happen,Regular
Sufrir,"to suffer, to sustain",Regular
Sugerir,to suggest,Irregular
Sumar,"to add (counting), to sum up (counting)",Regular
Superar,"to overcome, to get over",Regular
Suponer,"to suppose, to guess",Irregular
Surfear,to surf,Regular
Surgir,"to emerge, to arise",Irregular
Sustituir,to substitute,Irregular
Tardar,"to delay, to be slow",Regular
Temblar,to tremble,Irregular
Temer,to fear,Regular
Tender,to tend,Irregular
Tener,to have,Irregular
Terminar,"to end, to terminate, to finish",Regular
Tirar,"to throw, to drop, to shoot",Regular
Tirarse,to throw (oneself),Regular
Tocar,"to play (an instrument), to touch",Irregular
Tolerar,to tolerate,Regular
Tomar,"to drink, to take",Regular
Tomarse,"to take (for oneself), to have, to consume",Regular
Toser,to cough,Regular
Trabajar,to work,Regular
Traducir,to translate,Irregular
Traer,"to bring, to get, to carry",Irregular
Tragar,"to swallow, to stomach",Irregular
Transferir,to transfer,Irregular
Transformar,to transform,Regular
Transmitir,"to transmit, to convey",Regular
Transportar,to transport,Regular
Trasladar,"to move, to transfer",Regular
Trasladarse,"to move (house), to relocate",Regular
Tratar,"to treat, to try",Regular
Triunfar,"to succeed, to triumph",Regular
Tropezar,"to trip, to stumble",Irregular
Ubicar,"to locate, to situate",Irregular
Ubicarse,to be located,Irregular
Unir,"to unite, to join",Regular
Unirse,to join,Regular
Usar,to use,Regular
Utilizar,"to use, to utilize",Irregular
Vaciar,to empty,Irregular
Vacunar,to vaccinate,Regular
Valer,"to value, to be worth",Irregular
Valorar,"to value, to assess, to appraise",Regular
Variar,to vary,Irregular
Vencer,to overcome,Irregular
Vender,to sell,Regular
Venir,to come,Irregular
Ver,"to see, to watch",Irregular
Verificar,to verify,Irregular
Vestir,"to dress, to wear",Irregular
Vestirse,"to dress (oneself), to wear, to get dressed",Irregular
Viajar,to travel,Regular
Vibrar,to vibrate,Regular
Visitar,to visit,Regular
Vivir,to live,Regular
Volar,to fly,Irregular
Volver,to return,Irregular
Votar,to vote,Regular
